Pallet_ID,timestamp,latitude,longitude,Fixed_Timestamp,Fixed_Timestamp_dt,time_diff_hours,prev_latitude,prev_longitude,distance_km,speed_kmh
A0294,50:06.3,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A0670,22:47.2,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A0693,28:41.0,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A0806,11:03.4,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A11633,21:48.7,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A11633,25:11.1,33.90902026,-93.3068059,0,0,0.0,40.05541873,-75.25754141,1741.5950282155466,0.0
A1648,23:38.7,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A1648,45:08.6,39.35251067,-120.2061205,0,0,0.0,41.66592474,-95.57028669,2096.5287410759956,0.0
A21547,50:21.9,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A31069,26:10.6,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A31259,11:14.0,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A3810,41:56.1,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A41546,19:47.8,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A4878,05:21.3,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A4878,10:41.2,39.09264944,-101.0937608,0,0,0.0,34.00388898,-84.85672597,1556.812207800215,0.0
A51391,22:11.5,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A81670,31:43.9,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A8624,21:07.6,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A8624,10:56.1,41.03822948,-114.2242793,0,0,0.0,41.9968645,-87.82919859,2197.134525235161,0.0
A91512,41:14.8,38.537503979699956,-114.90130561199983,0,0,0.0,0.0,0.0,0.0,0.0
A91512,24:24.3,45.46492928,-121.8847681,0,0,0.0,36.1601297,-86.69129362,3114.75087242118,0.0
