Route_ID,Pallet_ID,Timestamp,Latitude,Longitude
1_Austin_Jacksonville,N6263,11:59,29.948733,-97.080243
0_Austin_San Diego,S81206,09:59,30.205646,-98.133184
1_Austin_San Diego,J21650,13:55,30.234429,-97.9089
1_Austin_Jacksonville,T4874,07:57,30.259038,-82.481419
1_Austin_Jacksonville,S31664,18:24,30.290549,-81.960769
1_Austin_Jacksonville,T6269,18:24,30.290549,-81.960769
1_Austin_San Diego,W6330,19:29,30.302688,-99.057321
0_Austin_Jacksonville,Y61694,23:36,30.484876,-84.394847
1_Austin_Jacksonville,A4878,05:17,30.530396,-84.566228
0_Austin_Jacksonville,T31690,00:01,30.566863,-87.390829
1_Austin_Jacksonville,I51631,04:45,30.573008,-88.184046
0_Austin_Jacksonville,N11375,12:33,30.589635,-84.719322
0_Austin_Los Angeles,S81206,10:06,30.67786,-101.331673
0_Austin_San Diego,O3316,15:56,30.67786,-101.331673
0_Austin_San Jose,M1320,11:10,30.67786,-101.331673
0_Austin_Jacksonville,M31386,17:20,30.694262,-86.145293
0_Austin_Los Angeles,C71205,00:01,30.702953,-101.125311
1_Austin_San Diego,Q51653,15:29,30.726469,-101.538915
0_Austin_Jacksonville,J51635,06:17,30.732501,-86.351093
1_Austin_San Diego,N6327,01:52,30.881884,-102.679849
1_Austin_Jacksonville,F7906,07:25,31.03353,-87.634882
1_Austin_Jacksonville,K3268,07:25,31.03353,-87.634882
0_Austin_San Jose,O4305,03:00,31.054699,-104.953282
0_Austin_San Jose,U91645,12:28,31.062044,-104.152762
1_Austin_San Diego,R9264,23:04,31.063058,-104.497885
0_Austin_San Jose,W31216,22:34,31.067458,-104.223035
1_Austin_Jacksonville,P3889,17:52,31.0867,-87.530124
1_Austin_San Diego,D6310,09:28,31.173337,-105.357238
0_Austin_Los Angeles,W7288,21:33,31.17383,-105.360124
1_Austin_Jacksonville,F31510,20:49,31.215775,-85.43074
1_Austin_Jacksonville,L31532,20:49,31.215775,-85.43074
1_Austin_Jacksonville,Z61500,05:01,31.281129,-86.255871
0_Austin_San Jose,P61649,03:39,31.337262,-105.886111
1_Austin_Jacksonville,Q2910,02:20,31.348445,-86.534581
1_Austin_Jacksonville,Z01371,10:06,31.435586,-86.947277
0_Austin_Los Angeles,N6263,11:56,31.470985,-106.058918
1_Austin_San Jose,U4252,14:51,31.743989,-99.336018
0_Austin_San Diego,L8886,02:53,31.777512,-106.425747
0_Austin_Los Angeles,U91645,12:23,31.800323,-106.519953
0_Austin_San Diego,H9296,23:22,31.800323,-106.519953
0_Austin_San Jose,W0887,14:24,31.800323,-106.519953
1_Austin_San Diego,S8885,05:27,31.813633,-106.547897
0_Austin_Los Angeles,K3265,22:28,31.84076,-106.570713
0_Austin_Los Angeles,N9689,04:08,31.965654,-110.460674
0_Austin_San Jose,T6269,06:53,31.965654,-110.460674
0_Austin_Los Angeles,T7253,14:13,31.985766,-110.565191
0_Austin_Los Angeles,K41556,14:13,31.985766,-110.565191
0_Austin_Los Angeles,U81573,14:13,31.985766,-110.565191
0_Austin_San Jose,P9791,16:59,31.985766,-110.565191
1_Austin_San Diego,W31216,22:38,31.99376,-110.173524
1_Austin_San Diego,I51209,20:38,32.113989,-110.856866
1_Austin_San Diego,O2645,20:38,32.113989,-110.856866
0_Austin_San Diego,C71205,00:04,32.132489,-110.885894
0_Austin_San Diego,S21256,10:19,32.174189,-110.93869
0_Austin_San Diego,B9291,05:51,32.179893,-108.385132
0_Austin_San Diego,D61232,05:51,32.179893,-108.385132
0_Austin_Los Angeles,T81226,04:35,32.198035,-110.978641
0_Austin_San Diego,I51209,20:33,32.198035,-110.978641
0_Austin_San Diego,O3311,20:33,32.198035,-110.978641
0_Austin_San Diego,O2645,20:33,32.198035,-110.978641
1_Austin_San Diego,E11218,13:02,32.227519,-109.048391
0_Austin_Los Angeles,H9296,23:22,32.237887,-108.95397
0_Austin_Los Angeles,E51395,23:22,32.237887,-108.95397
0_Austin_San Jose,U2283,15:03,32.242035,-107.251072
0_Austin_San Jose,H31228,15:03,32.242035,-107.251072
0_Austin_Los Angeles,J11227,14:40,32.258584,-110.999965
0_Austin_Los Angeles,L0690,14:40,32.258584,-110.999965
0_Austin_San Jose,Q0324,17:38,32.258584,-110.999965
0_Austin_San Jose,M81563,17:38,32.258584,-110.999965
0_Austin_San Diego,J11227,14:37,32.26535,-106.981946
1_Austin_San Diego,U2283,15:03,32.282542,-107.681807
1_Austin_San Diego,H31228,15:03,32.282542,-107.681807
0_Austin_Los Angeles,J2251,03:41,32.330045,-109.513703
0_Austin_Los Angeles,D0627,03:41,32.330045,-109.513703
0_Austin_Los Angeles,P61649,03:41,32.330045,-109.513703
0_Austin_San Diego,Q0324,17:35,32.330045,-109.513703
0_Austin_San Diego,M81563,17:35,32.330045,-109.513703
0_Austin_San Jose,M31237,16:20,32.348826,-109.742093
0_Austin_San Jose,K2788,16:20,32.348826,-109.742093
0_Austin_Los Angeles,X4275,13:18,32.354739,-108.749532
0_Austin_San Jose,B3784,15:42,32.354739,-108.749532
1_Austin_San Diego,Z01241,07:01,32.368556,-111.099662
1_Austin_San Diego,O9301,18:37,32.498841,-111.264929
1_Austin_San Diego,Y21565,18:37,32.498841,-111.264929
0_Austin_San Diego,X4809,01:33,32.647692,-111.393046
0_Austin_San Diego,T81226,04:31,32.670707,-114.415188
0_Austin_San Diego,M31237,16:15,32.686833,-116.091951
0_Austin_San Diego,K2788,16:15,32.686833,-116.091951
0_Austin_San Diego,L0690,14:46,32.714463,-114.611599
0_Austin_San Diego,U4252,14:46,32.714463,-114.611599
0_Austin_San Diego,K21034,14:46,32.714463,-114.611599
0_Austin_San Diego,M01551,11:48,32.735042,-111.549868
