Pallet_ID,timestamp,latitude,longitude
Y0623,00:00,41.79556685,-87.5753315
S21000,10:54,40.58461811,-73.84556975
A8624,21:07,41.9968645,-87.82919859
I21001,00:00,40.5765736,-74.30772215
Q11002,00:00,40.55157977,-74.20695895
X01350,00:00,45.38862433,-122.7377725
S61003,00:00,40.97174859,-73.8864506
H7625,03:22,41.70198369,-88.17350975
B71351,05:24,45.6031208,-122.4398591
G8626,13:56,42.04326553,-88.18622045
J21004,16:18,40.85631937,-73.97172773
E71630,20:15,39.96931564,-75.35145456
G4250,00:00,32.59424501,-117.0124843
X01352,00:00,45.35023811,-122.2618848
J2251,00:00,32.49520714,-117.3656593
D0627,00:00,41.69283772,-89.20863951
B11353,00:00,45.60385061,-122.1197577
N41005,00:00,40.7620188,-74.19943133
I51631,00:00,39.68998387,-75.18844637
U4252,00:00,32.83948706,-117.0337448
F5628,00:00,41.72786308,-89.71743843
V41006,00:00,40.75556055,-74.27596548
R3777,05:11,47.47528875,-122.316031
N51354,06:36,45.46579739,-121.8333562
D51632,11:33,40.04014447,-75.20938068
T7253,14:17,32.96297335,-117.1786855
Z8778,15:17,47.44815404,-122.3643519
W61355,16:48,45.84393547,-121.7336845
F3629,17:19,41.49349215,-90.21253856
R41007,21:43,40.76132317,-74.44873139
A11633,21:48,40.05541873,-75.25754141
Z5254,00:00,32.85159766,-116.8963555
G2779,00:00,47.78691346,-122.1409216
B31356,00:00,45.63828173,-121.8366419
F7630,00:00,41.51364058,-90.2176254
P31634,00:00,39.86015199,-75.4262416
Y0780,00:00,47.48783273,-121.795442
B9255,00:00,32.62518202,-116.558979
D0631,00:00,41.70447471,-90.30309071
U4781,00:00,47.48376253,-121.8715449
N8256,00:00,32.77587049,-116.5351439
J51635,00:00,39.61828159,-75.5695779
I7257,00:00,32.94409593,-116.3884891
E5632,00:00,41.37068457,-90.14467823
M11008,05:19,40.92279424,-74.95014898
U91357,07:47,45.88613647,-121.5473435
Z5258,09:39,32.81596858,-116.6696099
J1633,10:08,41.43467184,-90.40836176
